latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-6.376,155.395,310.3,2.9,1.6,2021-02-22,0035,T,35,6.0NRT,291.1,26.5,D
-17.526,146.024,312.6,1,1,2021-02-22,0035,T,52,6.0NRT,294.3,4.3,D
-20.735,139.478,326.9,1.6,1.2,2021-02-22,0040,T,54,6.0NRT,309.2,14.9,D
-24.232,148.22,332.1,1.5,1.2,2021-02-22,0040,T,76,6.0NRT,306.5,34.3,D
-24.243,148.219,337.7,1.5,1.2,2021-02-22,0040,T,83,6.0NRT,308.4,47.5,D
-24.245,148.234,338.7,1.6,1.2,2021-02-22,0040,T,84,6.0NRT,307.9,48.6,D
-26.58,150.187,325.5,2.3,1.5,2021-02-22,0040,T,67,6.0NRT,308.2,32.3,D
-26.83,148.672,329,1.8,1.3,2021-02-22,0040,T,70,6.0NRT,311.3,25,D
-26.832,148.69,334.7,1.8,1.3,2021-02-22,0040,T,80,6.0NRT,309.5,42.7,D
-27.876,151.091,322.4,2.7,1.6,2021-02-22,0040,T,60,6.0NRT,302.2,51.9,D
-27.879,151.085,321.3,2.7,1.6,2021-02-22,0040,T,51,6.0NRT,302,43.6,D
-27.745,148.218,374.3,1.7,1.3,2021-02-22,0040,T,100,6.0NRT,315.6,245.2,D
-27.747,148.235,364.6,1.7,1.3,2021-02-22,0040,T,100,6.0NRT,314.1,177.7,D
-27.757,148.216,333.5,1.7,1.3,2021-02-22,0040,T,71,6.0NRT,313.4,28.4,D
-27.759,148.234,335.7,1.7,1.3,2021-02-22,0040,T,71,6.0NRT,310.9,38.9,D
-28.401,151.82,331.2,3.1,1.7,2021-02-22,0040,T,79,6.0NRT,302.6,114.5,D
-28.398,151.814,327.1,3.1,1.7,2021-02-22,0040,T,73,6.0NRT,302.6,86.8,D
-28.401,151.846,319.6,3.1,1.7,2021-02-22,0040,T,51,6.0NRT,301.4,46.3,D
-28.309,149.878,342.8,2.3,1.5,2021-02-22,0040,T,89,6.0NRT,307.9,100.3,D
-28.794,152.116,319.8,3.3,1.7,2021-02-22,0040,T,51,6.0NRT,295,81,D
-32.208,147.369,322.8,1.7,1.3,2021-02-22,0040,T,60,6.0NRT,304.9,15.4,D
-32.219,147.367,324.2,1.7,1.3,2021-02-22,0040,T,63,6.0NRT,305.5,19.4,D
-32.129,146.085,323.7,1.4,1.2,2021-02-22,0040,T,37,6.0NRT,306.5,13.1,D
-32.132,146.079,323.7,1.4,1.2,2021-02-22,0040,T,60,6.0NRT,306.1,14.1,D
-33.185,146.592,323.4,1.6,1.2,2021-02-22,0040,T,69,6.0NRT,304.6,16.7,D
-33.222,146.51,321.9,1.6,1.2,2021-02-22,0040,T,67,6.0NRT,304.2,14.1,D
-33.223,146.527,325.7,1.6,1.2,2021-02-22,0040,T,74,6.0NRT,303.6,21,D
